date,gold_price
2015-01-01,1250.75
2015-02-01,1227.08
2015-03-01,1178.63
2015-04-01,1198.93
2015-05-01,1198.63
2015-06-01,1181.5
2015-07-01,1128.31
2015-08-01,1117.93
2015-09-01,1124.77
2015-10-01,1159.25
2015-11-01,1086.44
2015-12-01,1075.74
2016-01-01,1097.91
2016-02-01,1199.5
2016-03-01,1245.14
2016-04-01,1242.26
2016-05-01,1260.95
2016-06-01,1276.4
2016-07-01,1336.66
2016-08-01,1340.17
2016-09-01,1326.61
2016-10-01,1266.55
2016-11-01,1238.35
2016-12-01,1157.36
2017-01-01,1192.1
2017-02-01,1234.2
2017-03-01,1231.42
2017-04-01,1266.88
2017-05-01,1246.04
2017-06-01,1260.26
2017-07-01,1236.84
2017-08-01,1283.04
2017-09-01,1314.07
2017-10-01,1279.51
2017-11-01,1281.9
2017-12-01,1264.45
2018-01-01,1331.3
2018-02-01,1330.73
2018-03-01,1324.66
2018-04-01,1334.76
2018-05-01,1303.45
2018-06-01,1281.57
2018-07-01,1237.71
2018-08-01,1201.71
2018-09-01,1198.39
2018-10-01,1215.39
2018-11-01,1220.65
2018-12-01,1250.4
2019-01-01,1291.75
2019-02-01,1320.07
2019-03-01,1300.9
2019-04-01,1285.91
2019-05-01,1283.7
2019-06-01,1359.04
2019-07-01,1412.89
2019-08-01,1500.41
2019-09-01,1510.58
2019-10-01,1494.81
2019-11-01,1470.79
2019-12-01,1479.13
2020-01-01,1560.67
2020-02-01,1597.1
2020-03-01,1591.93
2020-04-01,1683.17
2020-05-01,1715.91
2020-06-01,1732.22
2020-07-01,1846.51
2020-08-01,1968.63
2020-09-01,1921.92
2020-10-01,1900.27
2020-11-01,1866.3
2020-12-01,1858.42
2021-01-01,1866.98
2021-02-01,1808.17
2021-03-01,1718.23
2021-04-01,1760.04
2021-05-01,1850.26
2021-06-01,1834.57
2021-07-01,1807.84
2021-08-01,1785.28
2021-09-01,1775.14
2021-10-01,1776.85
2021-11-01,1821.76
2021-12-01,1790.43
2022-01-01,1816.02
2022-02-01,1856.3
2022-03-01,1947.83
2022-04-01,1936.86
2022-05-01,1848.5
2022-06-01,1836.57
2022-07-01,1732.74
2022-08-01,1764.56
2022-09-01,1680.78
2022-10-01,1664.45
2022-11-01,1725.07
2022-12-01,1797.55
2023-01-01,1897.71
2023-02-01,1854.54
2023-03-01,1912.73
2023-04-01,1999.77
2023-05-01,1992.13
2023-06-01,1942.9
2023-07-01,1951.02
2023-08-01,1918.7
2023-09-01,1915.95
2023-10-01,1916.25
2023-11-01,1984.11
2023-12-01,2026.18
2024-01-01,2034.04
2024-02-01,2023.24
2024-03-01,2158.01
2024-04-01,2331.45
2024-05-01,2351.13
2024-06-01,2326.44
2024-07-01,2398.2
2024-08-01,2470.15
2024-09-01,2570.55
2024-10-01,2690.08
2024-11-01,2651.13
2024-12-01,2648.01
2025-01-01,2709.69
2025-02-01,2894.73
2025-03-01,2983.25
2025-04-01,3217.64
2025-05-01,3309.49
2025-06-01,3352.66
2025-07-01,3340.15
2025-08-01,3368.03
2025-09-01,3667.68
2025-10-01,4058.33
2025-11-01,4087.19
2025-12-01,4309.23
