date,btc_close,btc_volume,btc_marketcap,gold_price,sp500_price,CPIAUCSL,inflation_mom,inflation_yoy
2015-01-01,217.4640045166,23348200.0,2997692310.6,1250.75,1994.99,234.747,,
2015-02-01,254.2630004883,13949300.0,3531776635.75,1227.08,2104.5,235.342,0.2534643680217385,
2015-03-01,244.2239990234,22672000.0,3420112896.0,1178.63,2067.89,235.976,0.2693951780812442,
2015-04-01,236.1450042725,33818600.0,3332094504.38,1198.93,2085.51,236.222,0.1042478896158938,
2015-05-01,230.1900024414,14730800.0,3273756425.25,1198.63,2107.39,237.001,0.3297745341246827,
2015-06-01,263.0719909668,44533800.0,3770229521.6,1181.5,2063.11,237.657,0.2767920810460733,
2015-07-01,284.6499938965,23629100.0,4112089481.25,1128.31,2103.84,238.034,0.1586319780187306,
2015-08-01,230.0559997559,20710700.0,3349845416.0,1117.93,1972.18,238.033,-0.0004201080517907,
2015-09-01,236.0599975586,19743500.0,3463625759.0,1124.77,1920.03,237.498,-0.2247587519377591,
2015-10-01,314.1659851074,48598100.0,4645486246.35,1159.25,2079.36,237.733,0.098948201669069,
2015-11-01,377.3210144043,71701600.0,5623195996.95,1086.44,2080.41,238.017,0.1194617491050875,
2015-12-01,430.566986084,45996600.0,6471217490.68,1075.74,2043.94,237.761,-0.1075553426856057,
2016-01-01,368.766998291,37894300.0,5587253351.23,1097.91,1940.24,237.652,-0.0458443563073895,1.2375025026943876
2016-02-01,437.6969909668,60694700.0,6681444705.0,1199.5,1932.23,237.336,-0.1329675323582302,0.8472775790126619
2016-03-01,416.7290039063,60215200.0,6409062819.05,1245.14,2059.74,238.08,0.3134796238244419,0.8916160965521946
2016-04-01,448.3179931641,69322600.0,6944860514.15,1242.26,2065.3,238.992,0.3830645161290169,1.1726257503534845
2016-05-01,531.3859863281,138450000.0,8293035755.05,1260.95,2096.96,239.557,0.236409586931785,1.0784764621246223
2016-06-01,673.3369750977,138980000.0,10583527799.4,1276.4,2098.86,240.222,0.2775957287827202,1.0792865347959424
2016-07-01,624.6810302734,110818000.0,9861866432.96,1336.66,2173.6,240.101,-0.050370074347894,0.8683633430518256
2016-08-01,575.4719848633,75840896.0,9117106216.7,1340.17,2170.95,240.545,0.1849221785831689,1.0553158595656864
2016-09-01,609.7349853516,56122400.0,9693198750.06,1326.61,2168.27,241.176,0.2623209794425207,1.5486446201652182
2016-10-01,700.9719848633,97064400.0,11181852070.1,1266.55,2126.15,241.741,0.2342687497926876,1.685924966243646
2016-11-01,745.6909790039,84070800.0,11943536630.3,1238.35,2198.81,242.026,0.1178947716771183,1.6843334719788938
2016-12-01,963.742980957,99135104.0,15492554222.2,1157.36,2238.83,242.637,0.2524522158776188,2.0507989115119862
2017-01-01,970.4030151367,164582000.0,15659186515.2,1192.1,2278.87,243.618,0.4043076694815628,2.510393348257112
2017-02-01,1179.9699707031,184956000.0,19103684800.8,1234.2,2363.64,244.006,0.1592657357009752,2.8103616813294208
2017-03-01,1071.7900390625,447287008.0,17414322807.7,1231.42,2362.72,243.892,-0.0467201626189517,2.44119623655914
2017-04-01,1347.8900146484,413115008.0,21975104908.9,1266.88,2384.2,244.193,0.1234152821740774,2.176223471915395
2017-05-01,2286.4099121094,1544829952.0,37414813240.0,1246.04,2411.8,244.004,-0.0773977960056293,1.856343166761976
2017-06-01,2480.8400878906,860273024.0,40735082695.0,1260.26,2423.41,244.163,0.0651628661825221,1.640565809959127
2017-07-01,2875.3400878906,860574976.0,47388334773.0,1236.84,2470.3,244.243,0.0327649971535448,1.7251073506566073
2017-08-01,4703.3901367188,1944930048.0,77775374624.8,1283.04,2471.65,245.183,0.3848626163288182,1.92812155729698
2017-09-01,4338.7099609375,1207449984.0,72008428789.3,1314.07,2519.36,246.435,0.5106389920997767,2.1805652303711787
2017-10-01,6468.3999023438,2311379968.0,107743731291.0,1279.51,2575.26,246.626,0.077505224501384,2.020757753132485
2017-11-01,10233.599609375,8310689792.0,171020085600.0,1281.9,2647.58,247.284,0.2668007428251684,2.172493864295566
2017-12-01,14156.400390625,12136299520.0,237465823980.0,1264.45,2673.61,247.805,0.2106889244755105,2.129930719552253
2018-01-01,10221.099609375,8041160192.0,172099559942.0,1331.3,2823.81,248.859,0.4253344363511546,2.151318868063945
2018-02-01,10397.900390625,6936189952.0,175644310997.0,1330.73,2713.83,249.529,0.2692287600609022,2.263468931091861
2018-03-01,6973.5297851563,4553269760.0,118204645927.0,1324.66,2640.87,249.577,0.0192362410782021,2.3309497646499366
2018-04-01,9240.5498046875,8673920000.0,157163847314.0,1334.76,2648.05,250.227,0.2604406656061986,2.4709963021052994
2018-05-01,7494.169921875,5127130112.0,127902999390.0,1303.45,2705.27,250.792,0.2257949781598212,2.781921607842497
2018-06-01,6404.0,4543860224.0,109665618200.0,1281.57,2718.37,251.018,0.090114517209483,2.8075506935940187
2018-07-01,7780.44,5287530000.0,133688476220.0,1237.71,2816.29,251.214,0.0780820498928358,2.854124785561929
2018-08-01,7037.58,4495650000.0,121346613238.0,1201.71,2901.52,251.663,0.1787320770339384,2.642923856874257
2018-09-01,6625.56,4002280000.0,114608519470.0,1198.39,2913.98,252.182,0.2062281702117419,2.332055105808828
2018-10-01,6317.61,4191240000.0,109627117226.0,1215.39,2711.74,252.772,0.2339580144498754,2.492032470218053
2018-11-01,4017.26845712,6048016716.85,69904637061.28,1220.65,2760.17,252.594,-0.0704191919991159,2.147328577667773
2018-12-01,3742.70033544,4661840806.32,65331499157.74,1250.4,2506.85,252.767,0.0684893544581344,2.0023809043401064
2019-01-01,3457.79274724,5831198270.87,60553903927.49,1291.75,2704.1,252.561,-0.0814979803534399,1.4875893578291333
2019-02-01,3854.78528208,8399767798.46,67704774107.03,1320.07,2784.49,253.319,0.3001255142321968,1.5188615351321877
2019-03-01,4105.40429618,9045122442.87,72339379035.95,1300.9,2834.4,254.277,0.3781792917230797,1.8831863513063984
2019-04-01,5350.72669668,13878964573.8,94573826827.48,1285.91,2945.83,255.233,0.3759679404743643,2.000583470209061
2019-05-01,8574.50164907,25365190957.39,152059886413.55,1283.7,2752.06,255.296,0.0246833285664438,1.7959105553606136
2019-06-01,10817.1555981,27256473494.47,192442065810.22,1359.04,2941.76,255.213,-0.0325112810228067,1.671194894390049
2019-07-01,10085.6277491,16631520647.75,180028959602.82,1412.89,2980.38,255.802,0.2307876166182776,1.826331335037068
2019-08-01,9630.66384768,11454806419.01,172470743516.18,1500.41,2926.46,256.036,0.0914770017435451,1.7376412106666406
2019-09-01,8293.86774062,17115474183.47,149011567415.16,1510.58,2976.74,256.43,0.1538846099767177,1.6844977040391562
2019-10-01,9199.58483269,26583653946.63,165804227834.59,1494.81,3037.56,257.155,0.2827282299262768,1.7339736996186297
2019-11-01,7569.63012202,17158194786.41,136829391048.65,1470.79,3140.98,257.879,0.281542260504386,2.092290394862917
2019-12-01,7193.59897843,21167946112.3,130446112598.42,1479.13,3230.78,258.63,0.2912218521089249,2.3195274699624457
2020-01-01,9350.52936518,29432489719.13,170112778161.32,1560.67,3225.52,259.127,0.1921664153423874,2.599767976845202
2020-02-01,8599.50861972,35792392544.01,156895988083.74,1597.1,2954.22,259.25,0.047467072130658,2.34131667975952
2020-03-01,6438.64476637,32786468812.08,117814077266.54,1591.93,2584.59,258.076,-0.4528447444551498,1.4940399642909163
2020-04-01,8658.55417975,66964629541.31,158922133909.09,1683.17,2912.43,256.032,-0.7920147553434065,0.3130472940411133
2020-05-01,9461.05891806,27773290298.51,173997151929.68,1715.91,3044.31,255.802,-0.0898325209348738,0.1982013035848551
2020-06-01,9137.99340026,15735797743.99,168315606321.29,1732.22,3100.29,257.042,0.4847499237691677,0.7166562831830481
2020-07-01,11323.4664207,23160469766.39,208895308529.07,1846.51,3271.12,258.352,0.5096443382793581,0.9968647625897996
2020-08-01,10804.94121976,554052349456.13,199630473235.11,1968.63,3500.31,259.316,0.3731343283582156,1.2810698495523851
2020-09-01,10784.49157795,1174781695423.43,199556965503.78,1921.92,3363.0,259.997,0.2626139536318739,1.3910228912373812
2020-10-01,13780.99470249,1050874546084.33,255372071116.28,1900.27,3269.96,260.319,0.1238475828567287,1.2303863428671624
2020-11-01,19625.83502949,1140873393626.59,364229729425.88,1866.3,3621.63,260.911,0.2274132890799363,1.1757452138405844
2020-12-01,29001.71982218,1212259707945.2,539051138107.79,1858.42,3756.07,262.045,0.4346309661148906,1.3204191315779434
2021-01-01,33114.35774753,2153473433573.37,616452744533.29,1866.98,3714.24,262.687,0.2449960884580937,1.3738437137002402
2021-02-01,45137.77046805,2267152936673.9,841428977514.57,1808.17,3811.15,263.579,0.3395676223033383,1.6698167791706853
2021-03-01,58918.83271375,1681184264685.64,1100016786762.56,1718.23,3972.89,264.961,0.524320981565296,2.6678187820641908
2021-04-01,57750.17734563,1844481772415.39,1079669884319.7,1760.04,4181.17,266.614,0.6238653990587206,4.133077115360573
2021-05-01,37332.85368874,1976593438571.94,698990486184.97,1850.26,4204.11,268.383,0.6635060424433847,4.918257089467626
2021-06-01,35040.83724889,1189647451706.77,656852513237.54,1834.57,4297.5,270.654,0.8461787818155431,5.295632620349999
2021-07-01,41626.19567624,877979009506.43,781431379811.19,1807.84,4395.26,271.903,0.4614747980816958,5.245169381309234
2021-08-01,47166.68794545,1065642012587.53,886869903602.64,1785.28,4522.68,272.676,0.2842925602144719,5.152015301793966
2021-09-01,43790.8956254849,1102139678824.68,824619217607.52,1775.14,4307.54,273.91,0.4525517463950024,5.351215590949132
2021-10-01,61318.957766606,1153077903531.53,1156485845063.1,1776.85,4605.38,276.55,0.9638202329232072,6.235042390298062
2021-11-01,57005.4254735998,1053270271384.16,1076689232562.09,1821.76,4567.0,278.919,0.8566262881938069,6.901970403700863
2021-12-01,46306.4461226996,957047184721.19,875939356678.79,1790.43,4766.18,280.845,0.6905230550805275,7.174340285065539
2022-01-01,38483.126309273,923979037677.66,729073641687.68,1816.02,4515.55,282.543,0.6046039630400957,7.558805726967832
2022-02-01,43193.2340330233,671335993322.1,819414782676.49,1856.3,4373.94,284.5,0.6926379347568234,7.937278766517819
2022-03-01,45538.6769223388,830943838434.68,865202119215.74,1947.83,4530.41,287.674,1.115641476274165,8.572204966013853
2022-04-01,37714.875545299,830115888651.02,717596901508.72,1936.86,4131.93,288.561,0.3083351293478031,8.231750770777225
2022-05-01,31792.3099432754,1089422059065.44,605797887876.49,1848.5,4132.15,291.298,0.948499623996324,8.538171195642065
2022-06-01,19784.7264946249,923939211678.26,377526215552.49,1836.57,3785.38,294.957,1.2561019986405686,8.979361103105798
2022-07-01,23336.8956049843,927582363389.69,445941074223.04,1732.74,4130.29,294.913,-0.014917428642136,8.462576727730099
2022-08-01,20049.7631893726,894192654541.42,383710102294.98,1764.56,3955.0,295.097,0.0623912814965654,8.222579178218826
2022-09-01,19431.7894465994,1123272250383.71,372414733487.45,1680.78,3585.62,296.349,0.4242672748282716,8.192106896425821
2022-10-01,20495.7742320325,957903424925.88,393413045572.67,1664.45,3871.98,298.007,0.5594754832984217,7.758813957693
2022-11-01,17168.5655484864,1224531549126.67,329997633644.39,1725.07,4080.11,298.786,0.2614032556282231,7.122856456533988
2022-12-01,16547.4953660162,567256839394.97,318516317872.25,1797.55,3839.5,298.832,0.0153956343335925,6.404600402357152
2023-01-01,23139.2839099123,690928920787.36,446082285297.19,1897.71,4076.6,300.42,0.5314022594635093,6.327178517960097
2023-02-01,23147.3533899085,723968574896.01,446846764116.35,1854.54,3970.15,301.45,0.3428533386591992,5.957820738137087
2023-03-01,28478.4846056804,883299703607.68,550593053896.62,1912.73,4109.31,301.821,0.1230718195389002,4.917719362889961
2023-04-01,29268.8070431626,531060399718.28,566661285145.37,1999.77,4169.48,302.845,0.3392739405144063,4.950079879124369
2023-05-01,27219.6586081109,443473015482.63,527773175252.01,1992.13,4179.83,303.334,0.1614687381333635,4.131851231385042
2023-06-01,30477.2512822446,481734214225.81,591758288455.82,1942.9,4450.38,304.014,0.224175331482801,3.070617072997095
2023-07-01,29230.110878649,382224489087.03,568365621732.67,1951.02,4588.96,304.609,0.1957146710348745,3.287749268428297
2023-08-01,25931.4728933574,437724169499.52,504957555550.64,1918.7,4507.66,306.082,0.4835707415079771,3.722504803505289
2023-09-01,26967.9163010637,337637313742.31,525885640459.76,1915.95,4288.05,307.276,0.3900915440960384,3.687206638119256
2023-10-01,34667.7793605467,476425634860.31,677047621125.28,1916.25,4193.8,307.696,0.1366849347166798,3.2512659098611785
2023-11-01,37712.7477716325,570863267378.05,737560917365.82,1984.11,4567.8,308.148,0.1468982372211602,3.133346274591186
2023-12-01,42265.185654866,721704910476.24,827811209384.42,2026.18,4769.83,308.741,0.1924399963653789,3.3159099427102934
2024-01-01,42582.6063895367,825918941348.23,835231465697.41,2034.04,4845.65,309.698,0.3099685496905202,3.0883429864855705
2024-02-01,61198.382897303,830721862618.56,1202008882583.53,2023.24,5096.27,310.967,0.4097540184308634,3.157074141648697
2024-03-01,71333.6479258644,1446417844950.47,1403108244335.61,2158.01,5254.35,312.345,0.4431338373525273,3.4868349120836584
2024-04-01,60636.8567800147,1016068331704.26,1193544962108.24,2331.45,5035.69,313.023,0.2170676655621095,3.3607951262196734
2024-05-01,67489.6117770498,874291509756.41,1329961627933.33,2351.13,5277.51,313.175,0.048558732105941,3.244278584003113
2024-06-01,62678.292079457,751726832520.26,1235944779945.39,2326.44,5460.48,313.044,-0.0418296479604118,2.9702579486470926
2024-07-01,64619.2496492185,953395573304.8,1275323104043.98,2398.2,5522.3,313.569,0.1677080538199149,2.9414757935583014
2024-08-01,58969.8983660431,1076531038326.07,1164522862133.13,2470.15,5648.4,314.062,0.1572221743858515,2.607144490692037
2024-09-01,63329.4981294766,935228464018.62,1251461875405.87,2570.55,5762.48,314.732,0.2133336729690294,2.4264830315416708
2024-10-01,70215.1856325839,1049276385591.06,1388607599014.43,2690.08,5705.45,315.631,0.2856398459641696,2.578844053871343
2024-11-01,96449.0558127732,2214093389107.44,1908652965665.17,2651.13,6032.38,316.528,0.2841926173284825,2.719472461284833
2024-12-01,93429.2028113992,2367571853073.27,1850183342119.26,2648.01,5881.63,317.604,0.3399383308901438,2.870690967509981
2025-01-01,102405.0270844454,1917584997242.14,2029428972448.1,2709.69,6040.53,318.961,0.4272616213901736,2.9909783078999608
2025-02-01,84373.0103295802,1389494855080.7,1673219380516.41,2894.73,5954.5,319.679,0.2251058906888259,2.8015834477613355
2025-03-01,82548.9109608694,1133328839500.75,1638221363683.2,2983.25,5611.85,319.785,0.0331582618814607,2.381981462805549
2025-04-01,94207.311297523,1060974068310.71,1870909932833.95,3217.64,5569.06,320.302,0.1616711227856226,2.32538823025783
2025-05-01,104638.0912550028,1496397538235.65,2079433767578.83,3309.49,5911.69,320.62,0.0992813032700379,2.3772651073680877
2025-06-01,107135.3345105601,1424277758115.75,2130649407200.56,3352.66,6204.95,321.435,0.2541949971929469,2.680453865910226
2025-07-01,115758.2039287926,2061338304538.11,2303212731755.83,3340.15,6339.39,322.169,0.2283509885357748,2.742618052167134
2025-08-01,108236.7098959993,2048378158797.72,2155311534755.2,3368.03,6460.26,323.291,0.3482644202266627,2.9385917430316155
2025-09-01,114056.0836474993,1450418370470.49,2272962850720.1,3667.68,6688.46,324.245,0.2950901819104068,3.022571584713329
2025-10-01,109556.1608701478,2225033226795.8,2184893745051.09,4058.33,6840.2,324.654,0.1261391848756288,2.8587179332828505
2025-11-01,90394.308947817,2179411958810.3,1803803900068.52,4087.19,6849.09,325.063,0.1259802743844185,2.6964439164939518
2025-12-01,87508.8250795458,1487947448336.17,1747516285032.25,4309.23,6845.5,326.031,0.297788428704604,2.653304114557753
