date,actual_log_btc,holt_forecast_log_btc,arima_forecast_log_btc,actual_btc_price,holt_forecast_price,arima_forecast_price
2024-01-01,10.659201148164927,10.700968420842573,10.69025087663775,42582.60638953667,44398.8310709358,43925.52550350264
2024-02-01,11.021876044904634,10.750217850657615,10.720226944740674,61198.38289730295,46640.187942473014,45262.17368873123
2024-03-01,11.175123415501822,10.799467280472657,10.743546973521237,71333.64792586434,48994.69375294425,46330.092433563674
2024-04-01,11.01265818487016,10.848716710287698,10.76168890395918,60636.85678001472,51468.06052551925,47178.28036740238
2024-05-01,11.1197289654176,10.89796614010274,10.77580250746766,67489.6117770498,54066.28863966168,47848.85690522085
2024-06-01,11.045770447845,10.947215569917782,10.786782254340569,62678.292079456995,56795.6813880295,48377.12003286433
2024-07-01,11.076267627568864,10.996464999732824,10.795324002117509,64619.249649218495,59662.86026824175,48792.115058561896
2024-08-01,10.984782395507278,11.045714429547866,10.801969096574547,58969.89836604314,62674.78104660944,49117.42292557836
2024-09-01,11.056106504790565,11.094963859362908,10.807138680305664,63329.49812947661,65838.75063280124,49371.99701012287
2024-10-01,11.159319886172678,11.14421328917795,10.811160383251469,70215.18563258386,69162.44480638174,49570.956325405416
2024-11-01,11.476770228890139,11.193462718992992,10.814289086726555,96449.0558127732,72653.92683822682,49726.29202167814
2024-12-01,11.444959239281363,11.242712148808033,10.816723076896125,93429.20281139927,76321.66705199162,49847.47274414566
2025-01-01,11.536691083004078,11.291961578623075,10.818616611452127,102405.02708444533,80174.5633730873,49941.95007613369
2025-02-01,11.343002846617738,11.341211008438117,10.820089695920421,84373.01032958014,84221.96291501803,50015.5730001868
2025-03-01,11.321146256782384,11.39046043825316,10.821235689186746,82548.91096086943,88473.68465544694,50072.92336534605
2025-04-01,11.453253072175983,11.439709868068201,10.822127220252838,94207.31129752308,92940.04325700286,50117.58483768313
2025-05-01,11.55826292546008,11.488959297883243,10.822820791205794,104638.09125500276,97631.87409061716,50152.35699584439
2025-06-01,11.581848122757483,11.538208727698285,10.823360358120599,107135.33451056009,102560.55952209713,50179.42485018145
2025-07-01,11.659258845711543,11.587458157513327,10.823780116840759,115758.20392879269,107738.05652570707,50200.4925226952
2025-08-01,11.592075866004265,11.636707587328369,10.824106670189964,108236.70989599924,113176.92569174767,50216.88833856885
2025-09-01,11.64444556822326,11.68595701714341,10.824360713965008,114056.08364749925,118890.36169850579,50229.64724704537
2025-10-01,11.604192581417195,11.735206446958452,10.824558348562222,109556.16087014785,124892.2253224995,50239.57534418266
2025-11-01,11.411936590281506,11.784455876773494,10.82471209936367,90394.30894781704,131197.07706467528,50247.30031300103
2025-12-01,11.379494925311826,11.833705306588536,10.824831710551583,87508.8250795458,137820.21247413437,50253.31081173523
